GroupCueID,Group,Subject,Stage,Cue,Day,MagEntries
Sham: Devalued,Sham,3,DevalTest,Devalued,FirstTrial,6
Sham: Non-Devalued,Sham,3,DevalTest,Non-Devalued,FirstTrial,9
Sham: Devalued,Sham,7,DevalTest,Devalued,FirstTrial,12
Sham: Non-Devalued,Sham,7,DevalTest,Non-Devalued,FirstTrial,15
Sham: Devalued,Sham,10,DevalTest,Devalued,FirstTrial,-2
Sham: Non-Devalued,Sham,10,DevalTest,Non-Devalued,FirstTrial,1
Sham: Devalued,Sham,14,DevalTest,Devalued,FirstTrial,17
Sham: Non-Devalued,Sham,14,DevalTest,Non-Devalued,FirstTrial,29
Sham: Devalued,Sham,19,DevalTest,Devalued,FirstTrial,9
Sham: Non-Devalued,Sham,19,DevalTest,Non-Devalued,FirstTrial,17
Sham: Devalued,Sham,23,DevalTest,Devalued,FirstTrial,0
Sham: Non-Devalued,Sham,23,DevalTest,Non-Devalued,FirstTrial,3
Sham: Devalued,Sham,26,DevalTest,Devalued,FirstTrial,7
Sham: Non-Devalued,Sham,26,DevalTest,Non-Devalued,FirstTrial,6
Sham: Devalued,Sham,30,DevalTest,Devalued,FirstTrial,2
Sham: Non-Devalued,Sham,30,DevalTest,Non-Devalued,FirstTrial,3
Lesion: Devalued,Lesion,4,DevalTest,Devalued,FirstTrial,29
Lesion: Non-Devalued,Lesion,4,DevalTest,Non-Devalued,FirstTrial,27
Lesion: Devalued,Lesion,13,DevalTest,Devalued,FirstTrial,6
Lesion: Non-Devalued,Lesion,13,DevalTest,Non-Devalued,FirstTrial,6
Lesion: Devalued,Lesion,20,DevalTest,Devalued,FirstTrial,7
Lesion: Non-Devalued,Lesion,20,DevalTest,Non-Devalued,FirstTrial,2
Lesion: Devalued,Lesion,24,DevalTest,Devalued,FirstTrial,3
Lesion: Non-Devalued,Lesion,24,DevalTest,Non-Devalued,FirstTrial,5
Lesion: Devalued,Lesion,29,DevalTest,Devalued,FirstTrial,20
Lesion: Non-Devalued,Lesion,29,DevalTest,Non-Devalued,FirstTrial,16
