GroupCueID,Group,Subject,Cue,Day,TrialBlock2,Period,MagEntries
Muscimol: AB,Muscimol,2,AB,12,1,PreCS,0.5
Muscimol: AB,Muscimol,2,AB,12,1,CS,4.5
Muscimol: AB,Muscimol,2,AB,12,1,CSPre,4
Muscimol: AB,Muscimol,2,AB,12,2,PreCS,0.5
Muscimol: AB,Muscimol,2,AB,12,2,CS,5.5
Muscimol: AB,Muscimol,2,AB,12,2,CSPre,5
Muscimol: AB,Muscimol,2,AB,12,3,PreCS,0
Muscimol: AB,Muscimol,2,AB,12,3,CS,6.5
Muscimol: AB,Muscimol,2,AB,12,3,CSPre,6.5
Muscimol: CD,Muscimol,2,CD,12,1,PreCS,2
Muscimol: CD,Muscimol,2,CD,12,1,CS,3
Muscimol: CD,Muscimol,2,CD,12,1,CSPre,1
Muscimol: CD,Muscimol,2,CD,12,2,PreCS,0
Muscimol: CD,Muscimol,2,CD,12,2,CS,7.5
Muscimol: CD,Muscimol,2,CD,12,2,CSPre,7.5
Muscimol: CD,Muscimol,2,CD,12,3,PreCS,1.5
Muscimol: CD,Muscimol,2,CD,12,3,CS,8.5
Muscimol: CD,Muscimol,2,CD,12,3,CSPre,7
Muscimol: AB,Muscimol,3,AB,12,1,PreCS,2.5
Muscimol: AB,Muscimol,3,AB,12,1,CS,1.5
Muscimol: AB,Muscimol,3,AB,12,1,CSPre,-1
Muscimol: AB,Muscimol,3,AB,12,2,PreCS,0
Muscimol: AB,Muscimol,3,AB,12,2,CS,3
Muscimol: AB,Muscimol,3,AB,12,2,CSPre,3
Muscimol: AB,Muscimol,3,AB,12,3,PreCS,0
Muscimol: AB,Muscimol,3,AB,12,3,CS,1
Muscimol: AB,Muscimol,3,AB,12,3,CSPre,1
Muscimol: CD,Muscimol,3,CD,12,1,PreCS,1
Muscimol: CD,Muscimol,3,CD,12,1,CS,0
Muscimol: CD,Muscimol,3,CD,12,1,CSPre,-1
Muscimol: CD,Muscimol,3,CD,12,2,PreCS,0
Muscimol: CD,Muscimol,3,CD,12,2,CS,1.5
Muscimol: CD,Muscimol,3,CD,12,2,CSPre,1.5
Muscimol: CD,Muscimol,3,CD,12,3,PreCS,0
Muscimol: CD,Muscimol,3,CD,12,3,CS,3
Muscimol: CD,Muscimol,3,CD,12,3,CSPre,3
Muscimol: AB,Muscimol,5,AB,12,1,PreCS,1
Muscimol: AB,Muscimol,5,AB,12,1,CS,4
Muscimol: AB,Muscimol,5,AB,12,1,CSPre,3
Muscimol: AB,Muscimol,5,AB,12,2,PreCS,0
Muscimol: AB,Muscimol,5,AB,12,2,CS,5
Muscimol: AB,Muscimol,5,AB,12,2,CSPre,5
Muscimol: AB,Muscimol,5,AB,12,3,PreCS,0
Muscimol: AB,Muscimol,5,AB,12,3,CS,4.5
Muscimol: AB,Muscimol,5,AB,12,3,CSPre,4.5
Muscimol: CD,Muscimol,5,CD,12,1,PreCS,0
Muscimol: CD,Muscimol,5,CD,12,1,CS,3.5
Muscimol: CD,Muscimol,5,CD,12,1,CSPre,3.5
Muscimol: CD,Muscimol,5,CD,12,2,PreCS,0
Muscimol: CD,Muscimol,5,CD,12,2,CS,0
Muscimol: CD,Muscimol,5,CD,12,2,CSPre,0
Muscimol: CD,Muscimol,5,CD,12,3,PreCS,0
Muscimol: CD,Muscimol,5,CD,12,3,CS,5
Muscimol: CD,Muscimol,5,CD,12,3,CSPre,5
Muscimol: AB,Muscimol,6,AB,12,1,PreCS,0
Muscimol: AB,Muscimol,6,AB,12,1,CS,1
Muscimol: AB,Muscimol,6,AB,12,1,CSPre,1
Muscimol: AB,Muscimol,6,AB,12,2,PreCS,0
Muscimol: AB,Muscimol,6,AB,12,2,CS,0
Muscimol: AB,Muscimol,6,AB,12,2,CSPre,0
Muscimol: AB,Muscimol,6,AB,12,3,PreCS,0
Muscimol: AB,Muscimol,6,AB,12,3,CS,2.5
Muscimol: AB,Muscimol,6,AB,12,3,CSPre,2.5
Muscimol: CD,Muscimol,6,CD,12,1,PreCS,0
Muscimol: CD,Muscimol,6,CD,12,1,CS,0
Muscimol: CD,Muscimol,6,CD,12,1,CSPre,0
Muscimol: CD,Muscimol,6,CD,12,2,PreCS,0
Muscimol: CD,Muscimol,6,CD,12,2,CS,1.5
Muscimol: CD,Muscimol,6,CD,12,2,CSPre,1.5
Muscimol: CD,Muscimol,6,CD,12,3,PreCS,0
Muscimol: CD,Muscimol,6,CD,12,3,CS,2
Muscimol: CD,Muscimol,6,CD,12,3,CSPre,2
Muscimol: AB,Muscimol,8,AB,12,1,PreCS,0
Muscimol: AB,Muscimol,8,AB,12,1,CS,0
Muscimol: AB,Muscimol,8,AB,12,1,CSPre,0
Muscimol: AB,Muscimol,8,AB,12,2,PreCS,0
Muscimol: AB,Muscimol,8,AB,12,2,CS,1
Muscimol: AB,Muscimol,8,AB,12,2,CSPre,1
Muscimol: AB,Muscimol,8,AB,12,3,PreCS,0
Muscimol: AB,Muscimol,8,AB,12,3,CS,0
Muscimol: AB,Muscimol,8,AB,12,3,CSPre,0
Muscimol: CD,Muscimol,8,CD,12,1,PreCS,0
Muscimol: CD,Muscimol,8,CD,12,1,CS,0.5
Muscimol: CD,Muscimol,8,CD,12,1,CSPre,0.5
Muscimol: CD,Muscimol,8,CD,12,2,PreCS,0
Muscimol: CD,Muscimol,8,CD,12,2,CS,1
Muscimol: CD,Muscimol,8,CD,12,2,CSPre,1
Muscimol: CD,Muscimol,8,CD,12,3,PreCS,0
Muscimol: CD,Muscimol,8,CD,12,3,CS,1
Muscimol: CD,Muscimol,8,CD,12,3,CSPre,1
Muscimol: AB,Muscimol,9,AB,12,1,PreCS,0
Muscimol: AB,Muscimol,9,AB,12,1,CS,4
Muscimol: AB,Muscimol,9,AB,12,1,CSPre,4
Muscimol: AB,Muscimol,9,AB,12,2,PreCS,0
Muscimol: AB,Muscimol,9,AB,12,2,CS,2
Muscimol: AB,Muscimol,9,AB,12,2,CSPre,2
Muscimol: AB,Muscimol,9,AB,12,3,PreCS,0
Muscimol: AB,Muscimol,9,AB,12,3,CS,2
Muscimol: AB,Muscimol,9,AB,12,3,CSPre,2
Muscimol: CD,Muscimol,9,CD,12,1,PreCS,0
Muscimol: CD,Muscimol,9,CD,12,1,CS,1.5
Muscimol: CD,Muscimol,9,CD,12,1,CSPre,1.5
Muscimol: CD,Muscimol,9,CD,12,2,PreCS,0
Muscimol: CD,Muscimol,9,CD,12,2,CS,3.5
Muscimol: CD,Muscimol,9,CD,12,2,CSPre,3.5
Muscimol: CD,Muscimol,9,CD,12,3,PreCS,0
Muscimol: CD,Muscimol,9,CD,12,3,CS,7
Muscimol: CD,Muscimol,9,CD,12,3,CSPre,7
Muscimol: AB,Muscimol,13,AB,12,1,PreCS,0
Muscimol: AB,Muscimol,13,AB,12,1,CS,1
Muscimol: AB,Muscimol,13,AB,12,1,CSPre,1
Muscimol: AB,Muscimol,13,AB,12,2,PreCS,0.5
Muscimol: AB,Muscimol,13,AB,12,2,CS,1
Muscimol: AB,Muscimol,13,AB,12,2,CSPre,0.5
Muscimol: AB,Muscimol,13,AB,12,3,PreCS,0.5
Muscimol: AB,Muscimol,13,AB,12,3,CS,2.5
Muscimol: AB,Muscimol,13,AB,12,3,CSPre,2
Muscimol: CD,Muscimol,13,CD,12,1,PreCS,1
Muscimol: CD,Muscimol,13,CD,12,1,CS,0.5
Muscimol: CD,Muscimol,13,CD,12,1,CSPre,-0.5
Muscimol: CD,Muscimol,13,CD,12,2,PreCS,0
Muscimol: CD,Muscimol,13,CD,12,2,CS,2
Muscimol: CD,Muscimol,13,CD,12,2,CSPre,2
Muscimol: CD,Muscimol,13,CD,12,3,PreCS,1
Muscimol: CD,Muscimol,13,CD,12,3,CS,1
Muscimol: CD,Muscimol,13,CD,12,3,CSPre,0
Muscimol: AB,Muscimol,15,AB,12,1,PreCS,0.5
Muscimol: AB,Muscimol,15,AB,12,1,CS,1
Muscimol: AB,Muscimol,15,AB,12,1,CSPre,0.5
Muscimol: AB,Muscimol,15,AB,12,2,PreCS,0
Muscimol: AB,Muscimol,15,AB,12,2,CS,4.5
Muscimol: AB,Muscimol,15,AB,12,2,CSPre,4.5
Muscimol: AB,Muscimol,15,AB,12,3,PreCS,0
Muscimol: AB,Muscimol,15,AB,12,3,CS,4
Muscimol: AB,Muscimol,15,AB,12,3,CSPre,4
Muscimol: CD,Muscimol,15,CD,12,1,PreCS,0.5
Muscimol: CD,Muscimol,15,CD,12,1,CS,4.5
Muscimol: CD,Muscimol,15,CD,12,1,CSPre,4
Muscimol: CD,Muscimol,15,CD,12,2,PreCS,0
Muscimol: CD,Muscimol,15,CD,12,2,CS,2
Muscimol: CD,Muscimol,15,CD,12,2,CSPre,2
Muscimol: CD,Muscimol,15,CD,12,3,PreCS,0
Muscimol: CD,Muscimol,15,CD,12,3,CS,3
Muscimol: CD,Muscimol,15,CD,12,3,CSPre,3
