Group,Exclusion,Subj,Period,Day,MagEntries,Stage
Muscimol,1,9,Pre,1,0.3125,Acquisition
Muscimol,1,9,Pre,2,0.3125,Acquisition
Muscimol,1,9,Pre,3,0.25,Acquisition
Muscimol,1,9,Pre,4,0.3125,Acquisition
Muscimol,1,9,Pre,5,0.5,Infusion
Muscimol,1,9,Pre,6,0.125,Infusion
Muscimol,1,9,Pre,7,0.6875,Infusion
Muscimol,1,9,Pre,8,0.375,Infusion
Muscimol,1,9,Pre,9,0.1875,Infusion
Muscimol,1,9,Pre,10,0.625,No Infusion
Muscimol,1,9,CS,1,1.25,Acquisition
Muscimol,1,9,CS,2,0.25,Acquisition
Muscimol,1,9,CS,3,0.6875,Acquisition
Muscimol,1,9,CS,4,2.0625,Acquisition
Muscimol,1,9,CS,5,2,Infusion
Muscimol,1,9,CS,6,2.875,Infusion
Muscimol,1,9,CS,7,2.5625,Infusion
Muscimol,1,9,CS,8,2.3125,Infusion
Muscimol,1,9,CS,9,2.9375,Infusion
Muscimol,1,9,CS,10,3.625,No Infusion
Muscimol,1,9,CSPre,1,0.9375,Acquisition
Muscimol,1,9,CSPre,2,-0.0625,Acquisition
Muscimol,1,9,CSPre,3,0.4375,Acquisition
Muscimol,1,9,CSPre,4,1.75,Acquisition
Muscimol,1,9,CSPre,5,1.5,Infusion
Muscimol,1,9,CSPre,6,2.75,Infusion
Muscimol,1,9,CSPre,7,1.875,Infusion
Muscimol,1,9,CSPre,8,1.9375,Infusion
Muscimol,1,9,CSPre,9,2.75,Infusion
Muscimol,1,9,CSPre,10,3,No Infusion
Muscimol,1,10,Pre,1,1.125,Acquisition
Muscimol,1,10,Pre,2,0.6875,Acquisition
Muscimol,1,10,Pre,3,0.3125,Acquisition
Muscimol,1,10,Pre,4,0.8125,Acquisition
Muscimol,1,10,Pre,5,0.6875,Infusion
Muscimol,1,10,Pre,6,0.5,Infusion
Muscimol,1,10,Pre,7,0.3125,Infusion
Muscimol,1,10,Pre,8,0.25,Infusion
Muscimol,1,10,Pre,9,0.75,Infusion
Muscimol,1,10,Pre,10,0.625,No Infusion
Muscimol,1,10,CS,1,0.5,Acquisition
Muscimol,1,10,CS,2,0.4375,Acquisition
Muscimol,1,10,CS,3,0.6875,Acquisition
Muscimol,1,10,CS,4,0.75,Acquisition
Muscimol,1,10,CS,5,1.5,Infusion
Muscimol,1,10,CS,6,1,Infusion
Muscimol,1,10,CS,7,0.8125,Infusion
Muscimol,1,10,CS,8,0.875,Infusion
Muscimol,1,10,CS,9,0.6875,Infusion
Muscimol,1,10,CS,10,0.625,No Infusion
Muscimol,1,10,CSPre,1,-0.625,Acquisition
Muscimol,1,10,CSPre,2,-0.25,Acquisition
Muscimol,1,10,CSPre,3,0.375,Acquisition
Muscimol,1,10,CSPre,4,-0.0625,Acquisition
Muscimol,1,10,CSPre,5,0.8125,Infusion
Muscimol,1,10,CSPre,6,0.5,Infusion
Muscimol,1,10,CSPre,7,0.5,Infusion
Muscimol,1,10,CSPre,8,0.625,Infusion
Muscimol,1,10,CSPre,9,-0.0625,Infusion
Muscimol,1,10,CSPre,10,0,No Infusion
Muscimol,1,11,Pre,1,1.0625,Acquisition
Muscimol,1,11,Pre,2,0.9375,Acquisition
Muscimol,1,11,Pre,3,0.125,Acquisition
Muscimol,1,11,Pre,4,0.125,Acquisition
Muscimol,1,11,Pre,5,0.1875,Infusion
Muscimol,1,11,Pre,6,0.4375,Infusion
Muscimol,1,11,Pre,7,0.5625,Infusion
Muscimol,1,11,Pre,8,0.375,Infusion
Muscimol,1,11,Pre,9,0.8125,Infusion
Muscimol,1,11,Pre,10,1.0625,No Infusion
Muscimol,1,11,CS,1,0.9375,Acquisition
Muscimol,1,11,CS,2,1,Acquisition
Muscimol,1,11,CS,3,0.125,Acquisition
Muscimol,1,11,CS,4,0.8125,Acquisition
Muscimol,1,11,CS,5,1.6875,Infusion
Muscimol,1,11,CS,6,0.6875,Infusion
Muscimol,1,11,CS,7,1.625,Infusion
Muscimol,1,11,CS,8,1.1875,Infusion
Muscimol,1,11,CS,9,2.0625,Infusion
Muscimol,1,11,CS,10,2.25,No Infusion
Muscimol,1,11,CSPre,1,-0.125,Acquisition
Muscimol,1,11,CSPre,2,0.0625,Acquisition
Muscimol,1,11,CSPre,3,0,Acquisition
Muscimol,1,11,CSPre,4,0.6875,Acquisition
Muscimol,1,11,CSPre,5,1.5,Infusion
Muscimol,1,11,CSPre,6,0.25,Infusion
Muscimol,1,11,CSPre,7,1.0625,Infusion
Muscimol,1,11,CSPre,8,0.8125,Infusion
Muscimol,1,11,CSPre,9,1.25,Infusion
Muscimol,1,11,CSPre,10,1.1875,No Infusion
Muscimol,1,12,Pre,1,0.875,Acquisition
Muscimol,1,12,Pre,2,0.0625,Acquisition
Muscimol,1,12,Pre,3,0,Acquisition
Muscimol,1,12,Pre,4,0,Acquisition
Muscimol,1,12,Pre,5,0,Infusion
Muscimol,1,12,Pre,6,0.0625,Infusion
Muscimol,1,12,Pre,7,0.8125,Infusion
Muscimol,1,12,Pre,8,0.375,Infusion
Muscimol,1,12,Pre,9,0.125,Infusion
Muscimol,1,12,Pre,10,0.3125,No Infusion
Muscimol,1,12,CS,1,0.0625,Acquisition
Muscimol,1,12,CS,2,0.125,Acquisition
Muscimol,1,12,CS,3,0.375,Acquisition
Muscimol,1,12,CS,4,0.5,Acquisition
Muscimol,1,12,CS,5,0.4375,Infusion
Muscimol,1,12,CS,6,0.4375,Infusion
Muscimol,1,12,CS,7,1.125,Infusion
Muscimol,1,12,CS,8,0.9375,Infusion
Muscimol,1,12,CS,9,0.625,Infusion
Muscimol,1,12,CS,10,0.25,No Infusion
Muscimol,1,12,CSPre,1,-0.8125,Acquisition
Muscimol,1,12,CSPre,2,0.0625,Acquisition
Muscimol,1,12,CSPre,3,0.375,Acquisition
Muscimol,1,12,CSPre,4,0.5,Acquisition
Muscimol,1,12,CSPre,5,0.4375,Infusion
Muscimol,1,12,CSPre,6,0.375,Infusion
Muscimol,1,12,CSPre,7,0.3125,Infusion
Muscimol,1,12,CSPre,8,0.5625,Infusion
Muscimol,1,12,CSPre,9,0.5,Infusion
Muscimol,1,12,CSPre,10,-0.0625,No Infusion
Muscimol,1,13,Pre,1,0.625,Acquisition
Muscimol,1,13,Pre,2,0.5625,Acquisition
Muscimol,1,13,Pre,3,0.5,Acquisition
Muscimol,1,13,Pre,4,1.375,Acquisition
Muscimol,1,13,Pre,5,0.8125,Infusion
Muscimol,1,13,Pre,6,0.5625,Infusion
