GroupInjectionID,Group,Subject,Stage,Injection,Pairing,Consumption
Sham: Saline,Sham,3,TasteAversion,Saline,1,10
Sham: Saline,Sham,3,TasteAversion,Saline,2,19.5
Sham: LiCl,Sham,3,TasteAversion,LiCl,1,5.02
Sham: LiCl,Sham,3,TasteAversion,LiCl,2,0.14
Sham: Saline,Sham,7,TasteAversion,Saline,1,9
Sham: Saline,Sham,7,TasteAversion,Saline,2,22
Sham: LiCl,Sham,7,TasteAversion,LiCl,1,6.13
Sham: LiCl,Sham,7,TasteAversion,LiCl,2,0.71
Sham: Saline,Sham,10,TasteAversion,Saline,1,11
Sham: Saline,Sham,10,TasteAversion,Saline,2,18
Sham: LiCl,Sham,10,TasteAversion,LiCl,1,3.82
Sham: LiCl,Sham,10,TasteAversion,LiCl,2,-0.22
Sham: Saline,Sham,14,TasteAversion,Saline,1,10
Sham: Saline,Sham,14,TasteAversion,Saline,2,18
Sham: LiCl,Sham,14,TasteAversion,LiCl,1,4.29
Sham: LiCl,Sham,14,TasteAversion,LiCl,2,0.88
Sham: Saline,Sham,19,TasteAversion,Saline,1,4.73
Sham: Saline,Sham,19,TasteAversion,Saline,2,9.64
Sham: LiCl,Sham,19,TasteAversion,LiCl,1,11
Sham: LiCl,Sham,19,TasteAversion,LiCl,2,4
Sham: Saline,Sham,23,TasteAversion,Saline,1,4.1
Sham: Saline,Sham,23,TasteAversion,Saline,2,6.5
Sham: LiCl,Sham,23,TasteAversion,LiCl,1,24
Sham: LiCl,Sham,23,TasteAversion,LiCl,2,3
Sham: Saline,Sham,26,TasteAversion,Saline,1,1.45
Sham: Saline,Sham,26,TasteAversion,Saline,2,2.72
Sham: LiCl,Sham,26,TasteAversion,LiCl,1,4
Sham: LiCl,Sham,26,TasteAversion,LiCl,2,3.5
Sham: Saline,Sham,30,TasteAversion,Saline,1,4.3
Sham: Saline,Sham,30,TasteAversion,Saline,2,4.75
Sham: LiCl,Sham,30,TasteAversion,LiCl,1,12
Sham: LiCl,Sham,30,TasteAversion,LiCl,2,5.5
Lesion: Saline,Lesion,4,TasteAversion,Saline,1,11
Lesion: Saline,Lesion,4,TasteAversion,Saline,2,18
Lesion: LiCl,Lesion,4,TasteAversion,LiCl,1,6.75
Lesion: LiCl,Lesion,4,TasteAversion,LiCl,2,1.44
Lesion: Saline,Lesion,13,TasteAversion,Saline,1,1.92
Lesion: Saline,Lesion,13,TasteAversion,Saline,2,3.55
Lesion: LiCl,Lesion,13,TasteAversion,LiCl,1,6
Lesion: LiCl,Lesion,13,TasteAversion,LiCl,2,3
Lesion: Saline,Lesion,20,TasteAversion,Saline,1,4.83
Lesion: Saline,Lesion,20,TasteAversion,Saline,2,5.84
Lesion: LiCl,Lesion,20,TasteAversion,LiCl,1,16
Lesion: LiCl,Lesion,20,TasteAversion,LiCl,2,4
Lesion: Saline,Lesion,24,TasteAversion,Saline,1,11
Lesion: Saline,Lesion,24,TasteAversion,Saline,2,20
Lesion: LiCl,Lesion,24,TasteAversion,LiCl,1,3.38
Lesion: LiCl,Lesion,24,TasteAversion,LiCl,2,0.15
Lesion: Saline,Lesion,29,TasteAversion,Saline,1,5.41
Lesion: Saline,Lesion,29,TasteAversion,Saline,2,4.12
Lesion: LiCl,Lesion,29,TasteAversion,LiCl,1,14
Lesion: LiCl,Lesion,29,TasteAversion,LiCl,2,3
