GroupCueID,Group,Subject,Period,Cue,Stage,Infusion,Day,MagEntries
Muscimol: A,Muscimol,2,PreCS,A,Stage1,No Infusion,1,0.6875
Muscimol: A,Muscimol,2,PreCS,A,Stage1,No Infusion,2,1.625
Muscimol: A,Muscimol,2,PreCS,A,Stage1,No Infusion,3,0.125
Muscimol: A,Muscimol,2,PreCS,A,Stage1,No Infusion,4,0.9375
Muscimol: A,Muscimol,2,PreCS,A,Stage1,Infusion,5,0.375
Muscimol: A,Muscimol,2,PreCS,A,Stage1,Infusion,6,0
Muscimol: A,Muscimol,2,PreCS,A,Stage1,Infusion,7,0.3125
Muscimol: A,Muscimol,2,PreCS,A,Stage1,Infusion,8,0
Muscimol: A,Muscimol,2,PreCS,A,Stage1,Infusion,9,0.6875
Muscimol: A,Muscimol,2,PreCS,A,Stage1,Infusion,10,0
Muscimol: A,Muscimol,2,CS,A,Stage1,No Infusion,1,0.375
Muscimol: A,Muscimol,2,CS,A,Stage1,No Infusion,2,1.9375
Muscimol: A,Muscimol,2,CS,A,Stage1,No Infusion,3,1.125
Muscimol: A,Muscimol,2,CS,A,Stage1,No Infusion,4,0.75
Muscimol: A,Muscimol,2,CS,A,Stage1,Infusion,5,0.0625
Muscimol: A,Muscimol,2,CS,A,Stage1,Infusion,6,0
Muscimol: A,Muscimol,2,CS,A,Stage1,Infusion,7,0.6875
Muscimol: A,Muscimol,2,CS,A,Stage1,Infusion,8,0
Muscimol: A,Muscimol,2,CS,A,Stage1,Infusion,9,0.4375
Muscimol: A,Muscimol,2,CS,A,Stage1,Infusion,10,0.125
Muscimol: A,Muscimol,2,CSPre,A,Stage1,No Infusion,1,-0.3125
Muscimol: A,Muscimol,2,CSPre,A,Stage1,No Infusion,2,0.3125
Muscimol: A,Muscimol,2,CSPre,A,Stage1,No Infusion,3,1
Muscimol: A,Muscimol,2,CSPre,A,Stage1,No Infusion,4,-0.1875
Muscimol: A,Muscimol,2,CSPre,A,Stage1,Infusion,5,-0.3125
Muscimol: A,Muscimol,2,CSPre,A,Stage1,Infusion,6,0
Muscimol: A,Muscimol,2,CSPre,A,Stage1,Infusion,7,0.375
Muscimol: A,Muscimol,2,CSPre,A,Stage1,Infusion,8,0
Muscimol: A,Muscimol,2,CSPre,A,Stage1,Infusion,9,-0.25
Muscimol: A,Muscimol,2,CSPre,A,Stage1,Infusion,10,0.125
Muscimol: A,Muscimol,3,PreCS,A,Stage1,No Infusion,1,0.6875
Muscimol: A,Muscimol,3,PreCS,A,Stage1,No Infusion,2,0.1875
