Session,weight,Rat,Box,Food: Pre,Food: Post,Water: Pre,Water: Post,Food Consumed (g),Water Consumed (g),Water (g)/Food(g)
Baseline,340,1,1,21.51,17.28,246.35,243.25,4.23,3.1,0.73286052
Baseline,358,2,2,21.56,17.49,229.15,222.51,4.07,6.64,1.631449631
Baseline,371,3,3,20.19,14.59,281.77,274.35,5.6,7.42,1.325
Baseline,450,4,4,22.51,17.62,257.37,250.04,4.89,7.33,1.498977505
Baseline,438,5,5,22.12,17.57,262.48,258.63,4.55,3.85,0.846153846
Baseline,357,6,6,21.85,19.66,255.92,253.3,2.19,2.62,1.196347032
Baseline,346,7,7,20.72,15.91,283.79,280.37,4.81,3.42,0.711018711
Baseline,361,8,8,22.39,17.94,266.24,262.94,4.45,3.3,0.741573034
Baseline,385,9,1,22.35,18.62,265.94,260.3,3.73,5.64,1.512064343
Baseline,394,10,2,22.72,18.94,268.57,265.72,3.78,2.85,0.753968254
Baseline,337,11,3,22.74,16.3,286.42,280.1,6.44,6.32,0.98136646
Baseline,382,12,4,22.48,20.02,277.24,275.02,2.46,2.22,0.902439024
Baseline,398,13,5,20.88,18.23,250.55,245.54,2.65,5.01,1.890566038
Baseline,380,14,6,22.42,19.01,265.14,262.78,3.41,2.36,0.692082111
Baseline,362,15,7,20.48,16.95,274.08,270.75,3.53,3.33,0.943342776
Baseline,328,16,8,22.03,19.28,273.48,270.68,2.75,2.8,1.018181818
