Day,Session,MSN,Experiment,StartDate,StartTime,Group,Box,Subject,Session Length,Total Rewards,RI Schedule,Lever Identity,Reward Identity,Total LP,Total MagEntry,Total MagDuration,5s Bin,LP Bin,MagEntry Bin,Mag Dur Bin,Rewards Bin
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,1,1,2,187,1
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,2,0,0,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,3,0,1,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,4,0,0,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,5,0,0,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,6,1,3,500,1
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,7,0,1,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,8,0,1,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,9,0,1,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,10,0,1,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,11,0,2,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,12,0,0,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,13,0,0,500,0
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,14,1,3,500,1
1,1,SKR214_LeverTraining_Left_Sucrose_CRF,skr214_sPIT_Satiety,05-06-15,13:27:49,A,7,7,428.99,25,1,1,1,28,82,42586,15,0,1,500,0
