ExperimentalStage,StageType,stimPulses,stimStrength,drugs,subj,DA_max,DA_AUC,DA_Latency_s,DA_max_PercBaseline,DA_AUC_PercBaseline,DA_Latency_s_PercBaseline
02_StimIntensity_Pre,StimCurve,24,200,LY,M01007391,4.842339542,74.67278337,1.1,96.05285772,95.76728439,100
02_StimIntensity_Pre,StimCurve,24,200,LY,M01043738,4.198655566,61.09762492,1,93.91817091,99.8305902,95.23809524
02_StimIntensity_Pre,StimCurve,24,200,LY,M01043742,9.463669512,200.0608908,1.25,90.72257795,101.816741,96.15384615
02_StimIntensity_Pre,StimCurve,24,200,LY,M01059147,5.112714409,100.2477528,1.2,119.4656138,97.36199871,92.30769231
02_StimIntensity_Pre,StimCurve,24,200,LY,M1059152,4.416032258,96.88891141,1.3,65.23262852,72.86884072,108.3333333
02_StimIntensity_Pre,StimCurve,24,300,SAL,M01007385,3.731859176,49.05542723,1,159.5131472,198.1831923,111.1111111
02_StimIntensity_Pre,StimCurve,24,300,SAL,M01043741,6.275006565,172.744109,1.8,88.4629877,88.49764,124.137931
02_StimIntensity_Pre,StimCurve,24,300,SAL,M01043743,10.8109675,180.921119,1.1,133.3928641,126.7585078,100
02_StimIntensity_Pre,StimCurve,24,300,SAL,M01059148,7.110859596,156.0520252,1.1,110.8046185,163.1158442,100
02_StimIntensity_Pre,StimCurve,24,300,SAL,M1059151,9.100487318,161.9792751,1.3,109.7100498,116.6996162,104
02_StimIntensity_Pre,StimCurve,24,300,SAL,M1059153,5.759865679,102.4147384,1.1,137.0931976,159.3200538,110
02_StimIntensity_Pre,StimCurve,24,300,LY,M01007386,10.94609846,117.0489536,1.2,150.358309,110.187839,96
02_StimIntensity_Pre,StimCurve,24,300,LY,M01007391,6.27537202,101.781969,1.1,124.4785523,130.5346115,100
02_StimIntensity_Pre,StimCurve,24,300,LY,M01043738,4.979066513,65.62382436,1,111.3748943,107.2261831,95.23809524
02_StimIntensity_Pre,StimCurve,24,300,LY,M01043742,12.74357068,275.2957891,1.3,122.1650421,140.1059445,100
02_StimIntensity_Pre,StimCurve,24,300,LY,M01059147,5.572931983,111.9954883,1.2,130.2192313,108.7715614,92.30769231
02_StimIntensity_Pre,StimCurve,24,300,LY,M1059152,4.901380741,106.874675,1.3,72.4020864,80.37899852,108.3333333
03_StimPulse_Pre,StimCurve,12,200,SAL,M01007385,1.818108472,10.98719865,0.6,77.71252629,44.38811824,66.66666667
03_StimPulse_Pre,StimCurve,12,200,SAL,M01043741,2.994478641,71.76303126,1.25,42.2151793,36.76454696,86.20689655
03_StimPulse_Pre,StimCurve,12,200,SAL,M01043743,4.164278114,49.83601647,0.85,51.38161639,34.91653776,77.27272727
03_StimPulse_Pre,StimCurve,12,200,SAL,M01059148,3.196817826,49.0994345,0.7,49.81425591,51.32195943,63.63636364
03_StimPulse_Pre,StimCurve,12,200,SAL,M1059151,4.383801652,50.04829407,1.1,52.84849929,36.05780249,88
03_StimPulse_Pre,StimCurve,12,200,SAL,M1059153,2.809191664,35.19863618,0.75,66.86285575,54.75626553,75
03_StimPulse_Pre,StimCurve,12,200,LY,M01007386,4.247352853,47.76808834,1.4,58.34268668,44.96804339,112
03_StimPulse_Pre,StimCurve,12,200,LY,M01007391,2.392805111,30.74473674,0.7,47.46378623,39.42989418,63.63636364
03_StimPulse_Pre,StimCurve,12,200,LY,M01043738,2.185324014,17.93056017,0.7,48.88270329,29.29767575,66.66666667
03_StimPulse_Pre,StimCurve,12,200,LY,M01043742,3.801393926,66.90620612,1.05,36.44170545,34.05049249,80.76923077
03_StimPulse_Pre,StimCurve,12,200,LY,M01059147,3.191460256,47.1508757,0.85,74.57286442,45.79358012,65.38461538
03_StimPulse_Pre,StimCurve,12,200,LY,M1059152,1.608135143,27.18866356,1.05,23.75500818,20.44822638,87.5
03_StimPulse_Pre,StimCurve,24,200,SAL,M01007385,2.219482405,24.68317649,0.95,94.86869864,99.71966386,105.5555556
03_StimPulse_Pre,StimCurve,24,200,SAL,M01043741,5.737322495,164.1385388,2,80.88289376,84.08896494,137.9310345
03_StimPulse_Pre,StimCurve,24,200,SAL,M01043743,8.775272537,154.5718268,1.1,108.2751139,108.2974404,100
03_StimPulse_Pre,StimCurve,24,200,SAL,M01059148,5.734617114,91.20212574,1.05,89.35938799,95.33046246,95.45454545
03_StimPulse_Pre,StimCurve,24,200,SAL,M1059151,8.296213507,150.9334954,1.2,100.0142042,108.7415719,96
03_StimPulse_Pre,StimCurve,24,200,SAL,M1059153,4.476397259,78.53876201,1.05,106.5447787,122.1777254,105
03_StimPulse_Pre,StimCurve,24,200,LY,M01007386,8.592947079,125.8725501,1.15,118.0348411,118.4942185,92
03_StimPulse_Pre,StimCurve,24,200,LY,M01007391,4.7715357,79.41523334,1.05,94.64838963,101.8494409,95.45454545
03_StimPulse_Pre,StimCurve,24,200,LY,M01043738,4.09164216,57.23245778,1,91.52442766,93.51509237,95.23809524
03_StimPulse_Pre,StimCurve,24,200,LY,M01043742,8.627095546,190.2506042,1.2,82.70284029,96.82400401,92.30769231
03_StimPulse_Pre,StimCurve,24,200,LY,M01059147,5.997833369,119.4935481,1.2,140.1476374,116.0537803,92.30769231
03_StimPulse_Pre,StimCurve,24,200,LY,M1059152,3.753962517,81.9844018,1.25,55.45268422,61.65936049,104.1666667
03_StimPulse_Pre,StimCurve,36,200,SAL,M01007385,2.588303766,42.44769772,1.35,110.6334565,171.4880639,150
03_StimPulse_Pre,StimCurve,36,200,SAL,M01043741,7.645368665,229.5686836,2.4,107.7819038,117.6091436,165.5172414
03_StimPulse_Pre,StimCurve,36,200,SAL,M01043743,13.13348384,265.4820742,1.5,162.0496063,186.0043303,136.3636364
03_StimPulse_Pre,StimCurve,36,200,SAL,M01059148,7.545715108,191.378388,1.5,117.5807331,200.0412828,136.3636364
03_StimPulse_Pre,StimCurve,36,200,SAL,M1059151,10.81708409,217.8291479,1.55,130.4043171,156.9372251,124
03_StimPulse_Pre,StimCurve,36,200,SAL,M1059153,5.454161049,111.6392131,1.4,129.8169819,173.6699787,140
03_StimPulse_Pre,StimCurve,36,200,LY,M01007386,12.04676683,188.9977968,1.35,165.4773614,177.9192223,108
03_StimPulse_Pre,StimCurve,36,200,LY,M01007391,6.192249032,119.6054445,1.5,122.8297211,153.3930851,136.3636364
03_StimPulse_Pre,StimCurve,36,200,LY,M01043738,5.489388125,95.94755716,1.4,122.7900893,156.7737088,133.3333333
03_StimPulse_Pre,StimCurve,36,200,LY,M01043742,12.92097712,288.9636064,1.6,123.8657323,147.0618897,123.0769231
03_StimPulse_Pre,StimCurve,36,200,LY,M01059147,8.332023032,187.5812456,1.6,194.6891937,182.1814902,123.0769231
03_StimPulse_Pre,StimCurve,36,200,LY,M1059152,5.18430567,121.1229755,1.6,76.58138938,91.09495279,133.3333333
04_Baseline2_Pre,Baseline,24,200,SAL,M01007385,1.1220696,15.34160952,0.95,47.96130957,61.979873,105.5555556
04_Baseline2_Pre,Baseline,24,200,SAL,M01043741,4.297555511,121.2421696,2.3,60.5855303,62.11294814,158.6206897
04_Baseline2_Pre,Baseline,24,200,SAL,M01043743,7.97792876,152.9564342,1.2,98.43695929,107.1656503,109.0909091
04_Baseline2_Pre,Baseline,24,200,SAL,M01059148,4.466922726,67.21640697,1.05,69.60560279,70.25901107,95.45454545
04_Baseline2_Pre,Baseline,24,200,SAL,M1059151,7.514960074,120.8220757,1.4,90.59587856,87.04749332,112
04_Baseline2_Pre,Baseline,24,200,SAL,M1059153,4.686642791,91.7243886,1.05,111.5489288,142.6897608,105
04_Baseline2_Pre,Baseline,24,200,LY,M01007386,9.636290561,147.1292847,1.25,132.3664646,138.5049369,100
04_Baseline2_Pre,Baseline,24,200,LY,M01007391,3.454964703,52.85153111,1.05,68.53283009,67.78169209,95.45454545
04_Baseline2_Pre,Baseline,24,200,LY,M01043738,4.077385898,52.76862368,1,91.20553463,86.22140145,95.23809524
04_Baseline2_Pre,Baseline,24,200,LY,M01043742,7.559382113,162.9569088,1.35,72.46730585,82.93345745,103.8461538
04_Baseline2_Pre,Baseline,24,200,LY,M01059147,4.344090909,77.66194633,1.1,101.5056671,75.4263523,84.61538462
04_Baseline2_Pre,Baseline,24,200,LY,M1059152,2.742530279,55.41591546,1.2,40.51203624,41.67756102,100
05_Baseline_Post,Baseline,24,200,SAL,M01007385,1.005500373,12.10317373,1,100,100,100
05_Baseline_Post,Baseline,24,200,SAL,M01043741,5.724529724,164.9925814,1.7,100,100,100
05_Baseline_Post,Baseline,24,200,SAL,M01043743,7.509741075,145.3214767,1.25,100,100,100
05_Baseline_Post,Baseline,24,200,SAL,M01059148,3.414811603,60.93023902,1.2,100,100,100
05_Baseline_Post,Baseline,24,200,SAL,M1059151,5.823348003,82.4381191,2.15,100,100,100
05_Baseline_Post,Baseline,24,200,SAL,M1059153,4.460810502,88.67141173,1.1,100,100,100
05_Baseline_Post,Baseline,24,200,LY,M01007386,6.943290311,124.3813631,1.2,100,100,100
05_Baseline_Post,Baseline,24,200,LY,M01007391,2.748604884,52.80150914,1.1,100,100,100
05_Baseline_Post,Baseline,24,200,LY,M01043738,3.520152974,52.53029754,1,100,100,100
05_Baseline_Post,Baseline,24,200,LY,M01043742,2.940608872,55.85782967,1.35,100,100,100
05_Baseline_Post,Baseline,24,200,LY,M01059147,3.289336605,62.850233,1.15,100,100,100
05_Baseline_Post,Baseline,24,200,LY,M1059152,1.342391678,25.21840305,1.25,100,100,100
06_StimIntensity_Post,StimCurve,24,100,SAL,M01007385,0.530348378,4.552510916,0.95,52.74472215,37.61419126,95
06_StimIntensity_Post,StimCurve,24,100,SAL,M01043741,4.760791737,133.2589884,1.8,83.16476578,80.76665464,105.8823529
06_StimIntensity_Post,StimCurve,24,100,SAL,M01043743,1.715301713,37.28912568,1.1,22.84102335,25.65974867,88
06_StimIntensity_Post,StimCurve,24,100,SAL,M01059148,1.388414694,20.54531821,1.05,40.65860303,33.71941181,87.5
06_StimIntensity_Post,StimCurve,24,100,SAL,M1059151,5.680009305,26.58519082,0.75,97.53855174,32.24866253,34.88372093
06_StimIntensity_Post,StimCurve,24,100,SAL,M1059153,2.296055372,46.88778115,1.1,51.47170835,52.87812637,100
06_StimIntensity_Post,StimCurve,24,100,LY,M01007386,4.744075137,77.38414953,1.2,68.32603743,62.21522871,100
06_StimIntensity_Post,StimCurve,24,100,LY,M01007391,1.267681279,25.29981767,1.1,46.12089889,47.91495184,100
06_StimIntensity_Post,StimCurve,24,100,LY,M01043738,2.048193299,37.25791033,1.05,58.184781,70.92651684,105
06_StimIntensity_Post,StimCurve,24,100,LY,M01043742,2.297091002,47.55993868,1.55,78.1161692,85.14462335,114.8148148
06_StimIntensity_Post,StimCurve,24,100,LY,M01059147,2.139453168,39.48520716,1.2,65.04208675,62.82428127,104.3478261
06_StimIntensity_Post,StimCurve,24,100,LY,M1059152,0.89398293,11.55524858,1.15,66.59628071,45.8206991,92
06_StimIntensity_Post,StimCurve,24,200,SAL,M01007385,1.155112219,13.21279636,1,114.8793427,109.1680302,100
06_StimIntensity_Post,StimCurve,24,200,SAL,M01043741,5.189229747,148.0158102,1.85,90.64901393,89.71058514,108.8235294
06_StimIntensity_Post,StimCurve,24,200,SAL,M01043743,3.121864935,68.54604409,1.2,41.57087314,47.16855736,96
06_StimIntensity_Post,StimCurve,24,200,SAL,M01059148,3.828095757,76.623581,1.1,112.1026927,125.7562456,91.66666667
06_StimIntensity_Post,StimCurve,24,200,SAL,M1059151,7.209260533,47.27828702,1.85,123.7992394,57.3500312,86.04651163
06_StimIntensity_Post,StimCurve,24,200,SAL,M1059153,4.577770271,89.19296058,1.15,102.6219398,100.5881815,104.5454545
06_StimIntensity_Post,StimCurve,24,200,LY,M01007386,6.054764554,115.0546009,1.25,87.20310232,92.50147937,104.1666667
06_StimIntensity_Post,StimCurve,24,200,LY,M01007391,2.586532053,48.46851654,1.15,94.10345109,91.79380918,104.5454545
06_StimIntensity_Post,StimCurve,24,200,LY,M01043738,3.485530915,55.62633687,1,99.01646152,105.8938165,100
06_StimIntensity_Post,StimCurve,24,200,LY,M01043742,2.562159145,54.88801267,1.4,87.13022562,98.26377608,103.7037037
06_StimIntensity_Post,StimCurve,24,200,LY,M01059147,2.93087949,59.0582312,1.2,89.10244958,93.96660661,104.3478261
06_StimIntensity_Post,StimCurve,24,200,LY,M1059152,1.212721163,22.10020874,1.25,90.34033676,87.63524277,100
06_StimIntensity_Post,StimCurve,24,300,SAL,M01007385,1.416053432,22.18882473,0.95,140.8307218,183.3306307,95
06_StimIntensity_Post,StimCurve,24,300,SAL,M01043741,5.444411863,148.2049188,1.7,95.10670964,89.82520157,100
06_StimIntensity_Post,StimCurve,24,300,SAL,M01043743,3.751857072,76.80454714,1.1,49.95987257,52.85147721,88
06_StimIntensity_Post,StimCurve,24,300,SAL,M01059148,4.971595894,100.7111932,1.2,145.5891707,165.2893453,100
06_StimIntensity_Post,StimCurve,24,300,SAL,M1059151,8.230929344,94.58767597,1.25,141.3435938,114.73779,58.13953488
06_StimIntensity_Post,StimCurve,24,300,SAL,M1059153,5.942846489,122.7977867,1.15,133.2234688,138.4863333,104.5454545
06_StimIntensity_Post,StimCurve,24,300,LY,M01007386,6.65726986,115.8179634,1.25,95.88062089,93.11520674,104.1666667
06_StimIntensity_Post,StimCurve,24,300,LY,M01007391,3.158317289,59.48177687,1.15,114.9061951,112.6516606,104.5454545
06_StimIntensity_Post,StimCurve,24,300,LY,M01043738,3.797244181,59.5298474,1,107.8715672,113.3247862,100
06_StimIntensity_Post,StimCurve,24,300,LY,M01043742,4.367246244,95.72746705,1.45,148.5150332,171.3769898,107.4074074
06_StimIntensity_Post,StimCurve,24,300,LY,M01059147,3.100846332,62.87307948,1.2,94.26965691,100.0363507,104.3478261
06_StimIntensity_Post,StimCurve,24,300,LY,M1059152,1.905261004,38.71714034,1.2,141.9303349,153.5273279,96
07_StimPulses_Post,StimCurve,12,200,SAL,M01007385,0.674377559,1.155125014,0.7,67.06885222,9.543984412,70
07_StimPulses_Post,StimCurve,12,200,SAL,M01043741,3.157582069,75.26599961,1.55,55.15880294,45.61780837,91.17647059
07_StimPulses_Post,StimCurve,12,200,SAL,M01043743,1.785363732,29.73576735,0.85,23.77397188,20.46205972,68
07_StimPulses_Post,StimCurve,12,200,SAL,M01059148,2.363160082,26.31011158,0.75,69.20323452,43.1807129,62.5
07_StimPulses_Post,StimCurve,12,200,SAL,M1059151,4.319652557,61.62803831,1.95,74.1781627,74.75672538,90.69767442
07_StimPulses_Post,StimCurve,12,200,SAL,M1059153,3.016671456,51.30599311,0.9,67.62608397,57.86080554,81.81818182
07_StimPulses_Post,StimCurve,12,200,LY,M01007386,2.59332777,43.50125007,1.3,37.3501273,34.97409015,108.3333333
07_StimPulses_Post,StimCurve,12,200,LY,M01007391,1.061144963,17.57366708,0.9,38.6066753,33.28250909,81.81818182
07_StimPulses_Post,StimCurve,12,200,LY,M01043738,1.956535736,29.87660969,0.75,55.58098612,56.87500565,75
07_StimPulses_Post,StimCurve,12,200,LY,M01043742,1.599663657,37.24297724,1.4,54.39906245,66.674587,103.7037037
07_StimPulses_Post,StimCurve,12,200,LY,M01059147,1.531483849,22.27470658,0.8,46.55904921,35.44092919,69.56521739
07_StimPulses_Post,StimCurve,12,200,LY,M1059152,0.636267914,10.05490749,0.85,47.39808244,39.87130934,68
07_StimPulses_Post,StimCurve,24,200,SAL,M01007385,0.874716902,9.342499787,0.95,86.99319522,77.19049561,95
07_StimPulses_Post,StimCurve,24,200,SAL,M01043741,5.59595543,156.9345275,1.8,97.75397631,95.11611138,105.8823529
07_StimPulses_Post,StimCurve,24,200,SAL,M01043743,3.795993301,86.63331355,1.3,50.54759229,59.61494166,104
07_StimPulses_Post,StimCurve,24,200,SAL,M01059148,4.56909961,77.59483712,1.1,133.8023921,127.3502917,91.66666667
07_StimPulses_Post,StimCurve,24,200,SAL,M1059151,4.741730601,29.83272133,1,81.42619329,36.18801794,46.51162791
07_StimPulses_Post,StimCurve,24,200,SAL,M1059153,4.516769233,90.98706168,1.1,101.2544521,102.6114955,100
07_StimPulses_Post,StimCurve,24,200,LY,M01007386,5.761673434,115.4456637,1.4,82.98188864,92.8158856,116.6666667
07_StimPulses_Post,StimCurve,24,200,LY,M01007391,2.354113006,44.73971715,1.15,85.64755961,84.73189097,104.5454545
07_StimPulses_Post,StimCurve,24,200,LY,M01043738,3.332614908,54.25108622,1,94.67244556,103.2758023,100
07_StimPulses_Post,StimCurve,24,200,LY,M01043742,3.240152209,75.23350357,1.5,110.1864393,134.6874807,111.1111111
07_StimPulses_Post,StimCurve,24,200,LY,M01059147,2.615271818,49.42591094,1.2,79.5075765,78.64077598,104.3478261
07_StimPulses_Post,StimCurve,24,200,LY,M1059152,1.028616476,17.57901756,1.25,76.62565948,69.70710048,100
07_StimPulses_Post,StimCurve,36,200,SAL,M01007385,1.002570293,12.06496296,1.25,99.70859492,99.68429131,125
07_StimPulses_Post,StimCurve,36,200,SAL,M01043741,5.251123596,156.5167562,2.7,91.73021802,94.86290527,158.8235294
07_StimPulses_Post,StimCurve,36,200,SAL,M01043743,4.733595367,111.2729604,1.55,63.03273734,76.57021036,124
07_StimPulses_Post,StimCurve,36,200,SAL,M01059148,5.917891033,123.9686462,1.45,173.3006596,203.4599702,120.8333333
07_StimPulses_Post,StimCurve,36,200,SAL,M1059151,8.013093002,99.1861383,1.75,137.6028532,120.3158677,81.39534884
07_StimPulses_Post,StimCurve,36,200,SAL,M1059153,5.403107095,130.0476374,1.45,121.1238875,146.662419,131.8181818
07_StimPulses_Post,StimCurve,36,200,LY,M01007386,8.033770846,143.2868565,1.65,115.7055299,115.1996191,137.5
07_StimPulses_Post,StimCurve,36,200,LY,M01007391,3.59902954,78.85171121,1.5,130.9402294,149.3360938,136.3636364
07_StimPulses_Post,StimCurve,36,200,LY,M01043738,4.194945652,83.7011392,1.4,119.1694135,159.3387876,140
07_StimPulses_Post,StimCurve,36,200,LY,M01043742,4.306720075,100.3511525,1.75,146.4567463,179.6545858,129.6296296
07_StimPulses_Post,StimCurve,36,200,LY,M01059147,3.438647116,78.91027197,1.5,104.5392287,125.552871,130.4347826
07_StimPulses_Post,StimCurve,36,200,LY,M1059152,1.419853444,32.08366154,1.5,105.7704295,127.2232087,120
08_Baseline2_Post,Baseline,24,200,SAL,M01007385,1.050761764,12.78196771,0.9,104.5013799,105.6083965,90
08_Baseline2_Post,Baseline,24,200,SAL,M01043741,1.867800177,61.10076621,3.1,32.62801081,37.03243242,182.3529412
08_Baseline2_Post,Baseline,24,200,SAL,M01043743,3.337637366,68.89197772,1.15,44.4441071,47.40660451,92
08_Baseline2_Post,Baseline,24,200,SAL,M01059148,4.654218508,76.89864963,1.2,136.2950303,126.207694,100
08_Baseline2_Post,Baseline,24,200,SAL,M1059151,8.046882287,84.72004439,1.55,138.1830913,102.7680463,72.09302326
08_Baseline2_Post,Baseline,24,200,SAL,M1059153,4.531065498,91.42488022,1.2,101.5749379,103.1052494,109.0909091
08_Baseline2_Post,Baseline,24,200,LY,M01007386,4.676194065,80.79891158,1.35,67.34838751,64.96062558,112.5
08_Baseline2_Post,Baseline,24,200,LY,M01007391,1.958888988,42.23337249,1.1,71.26848241,79.98516175,100
08_Baseline2_Post,Baseline,24,200,LY,M01043738,2.62823696,40.26744338,1,74.66257801,76.65565448,100
08_Baseline2_Post,Baseline,24,200,LY,M01043742,2.306218039,53.27777034,1.45,78.42654836,95.38102474,107.4074074
08_Baseline2_Post,Baseline,24,200,LY,M01059147,2.7195431,57.38902716,1.45,82.67755559,91.31076278,126.0869565
08_Baseline2_Post,Baseline,24,200,LY,M1059152,1.007202762,18.97318079,1.35,75.03046828,75.23545703,108
