Infusion,Day,InfusionGroup,Subject,Block5min,MagEntries,MagDuration_s
No Infusion,17,Muscimol,1,1,73,71.81
No Infusion,17,Muscimol,1,2,21,11.52
No Infusion,17,Muscimol,1,3,20,32.41
No Infusion,17,Muscimol,1,4,2,1.64
No Infusion,17,Muscimol,1,5,5,2.03
No Infusion,17,Muscimol,1,6,0,0
No Infusion,17,Muscimol,3,1,70,56.64
No Infusion,17,Muscimol,3,2,28,29.69
No Infusion,17,Muscimol,3,3,5,2.91
No Infusion,17,Muscimol,3,4,0,0
No Infusion,17,Muscimol,3,5,1,0.65
No Infusion,17,Muscimol,3,6,2,2.14
No Infusion,17,Muscimol,5,1,54,61.07
No Infusion,17,Muscimol,5,2,27,37.3
No Infusion,17,Muscimol,5,3,4,1.61
No Infusion,17,Muscimol,5,4,4,2.47
No Infusion,17,Muscimol,5,5,0,0
No Infusion,17,Muscimol,5,6,0,0
No Infusion,17,Muscimol,8,1,63,60.29
No Infusion,17,Muscimol,8,2,9,8.1
No Infusion,17,Muscimol,8,3,1,0.67
No Infusion,17,Muscimol,8,4,0,0
No Infusion,17,Muscimol,8,5,1,2.37
No Infusion,17,Muscimol,8,6,0,0
No Infusion,17,Muscimol,10,1,45,40.37
No Infusion,17,Muscimol,10,2,63,48.74
No Infusion,17,Muscimol,10,3,4,0.73
No Infusion,17,Muscimol,10,4,42,47.33
No Infusion,17,Muscimol,10,5,10,7.73
No Infusion,17,Muscimol,10,6,8,15.06
No Infusion,17,Muscimol,16,1,58,77.03
No Infusion,17,Muscimol,16,2,13,7.38
No Infusion,17,Muscimol,16,3,0,0
No Infusion,17,Muscimol,16,4,2,3.17
No Infusion,17,Muscimol,16,5,1,0.1
No Infusion,17,Muscimol,16,6,2,0.16
No Infusion,17,Muscimol,17,1,95,96.23
No Infusion,17,Muscimol,17,2,33,16.76
No Infusion,17,Muscimol,17,3,24,20.32
No Infusion,17,Muscimol,17,4,29,27.95
No Infusion,17,Muscimol,17,5,1,0.48
No Infusion,17,Muscimol,17,6,0,0
No Infusion,17,Muscimol,19,1,63,98.48
No Infusion,17,Muscimol,19,2,15,10.65
No Infusion,17,Muscimol,19,3,10,31.21
No Infusion,17,Muscimol,19,4,6,8.05
No Infusion,17,Muscimol,19,5,6,11.8
No Infusion,17,Muscimol,19,6,4,3.86
No Infusion,17,Muscimol,22,1,81,66.15
No Infusion,17,Muscimol,22,2,46,24.84
No Infusion,17,Muscimol,22,3,9,4.39
No Infusion,17,Muscimol,22,4,12,8.47
No Infusion,17,Muscimol,22,5,7,6.16
No Infusion,17,Muscimol,22,6,8,7.08
No Infusion,17,Muscimol,23,1,81,76.17
No Infusion,17,Muscimol,23,2,12,10.37
No Infusion,17,Muscimol,23,3,0,0
No Infusion,17,Muscimol,23,4,0,0
No Infusion,17,Muscimol,23,5,3,2.1
No Infusion,17,Muscimol,23,6,0,0
No Infusion,17,Muscimol,25,1,61,64.99
No Infusion,17,Muscimol,25,2,24,15.78
No Infusion,17,Muscimol,25,3,6,1.58
No Infusion,17,Muscimol,25,4,1,0.53
No Infusion,17,Muscimol,25,5,10,10.37
No Infusion,17,Muscimol,25,6,8,7.38
No Infusion,17,Muscimol,26,1,105,55.25
No Infusion,17,Muscimol,26,2,15,11.74
No Infusion,17,Muscimol,26,3,20,14.29
No Infusion,17,Muscimol,26,4,11,8.9
No Infusion,17,Muscimol,26,5,2,2.56
No Infusion,17,Muscimol,26,6,1,0.09
No Infusion,17,Muscimol,28,1,73,60.03
No Infusion,17,Muscimol,28,2,46,28.31
No Infusion,17,Muscimol,28,3,11,6.34
No Infusion,17,Muscimol,28,4,9,4.66
No Infusion,17,Muscimol,28,5,1,0.04
No Infusion,17,Muscimol,28,6,2,0.16
No Infusion,17,Muscimol,30,1,98,74.26
No Infusion,17,Muscimol,30,2,30,20.01
No Infusion,17,Muscimol,30,3,16,17.51
No Infusion,17,Muscimol,30,4,10,11.83
No Infusion,17,Muscimol,30,5,3,0.96
No Infusion,17,Muscimol,30,6,4,2.94
No Infusion,17,Saline,2,1,41,35.41
No Infusion,17,Saline,2,2,66,52.56
No Infusion,17,Saline,2,3,79,117.66
No Infusion,17,Saline,2,4,5,5.28
No Infusion,17,Saline,2,5,3,7.21
No Infusion,17,Saline,2,6,0,0
No Infusion,17,Saline,4,1,74,92.18
No Infusion,17,Saline,4,2,35,34.3
No Infusion,17,Saline,4,3,0,0
No Infusion,17,Saline,4,4,1,1.03
No Infusion,17,Saline,4,5,6,2.82
No Infusion,17,Saline,4,6,8,3.66
No Infusion,17,Saline,7,1,71,51.86
No Infusion,17,Saline,7,2,19,26.03
No Infusion,17,Saline,7,3,3,0.43
No Infusion,17,Saline,7,4,1,0.43
No Infusion,17,Saline,7,5,1,0.88
No Infusion,17,Saline,7,6,0,0
No Infusion,17,Saline,9,1,89,64.89
No Infusion,17,Saline,9,2,27,9.52
No Infusion,17,Saline,9,3,6,3.12
No Infusion,17,Saline,9,4,16,18.78
No Infusion,17,Saline,9,5,4,1.68
No Infusion,17,Saline,9,6,6,3.42
No Infusion,17,Saline,15,1,54,63.19
No Infusion,17,Saline,15,2,15,9.11
No Infusion,17,Saline,15,3,3,1.88
No Infusion,17,Saline,15,4,5,2.69
No Infusion,17,Saline,15,5,3,1.36
No Infusion,17,Saline,15,6,0,0
No Infusion,17,Saline,18,1,46,55.96
No Infusion,17,Saline,18,2,3,1.53
No Infusion,17,Saline,18,3,5,3.06
No Infusion,17,Saline,18,4,3,1.5
No Infusion,17,Saline,18,5,4,7.73
No Infusion,17,Saline,18,6,0,0
No Infusion,17,Saline,20,1,48,57.57
No Infusion,17,Saline,20,2,28,26.14
No Infusion,17,Saline,20,3,13,21.62
No Infusion,17,Saline,20,4,9,12.45
No Infusion,17,Saline,20,5,3,1.28
No Infusion,17,Saline,20,6,7,2.77
No Infusion,17,Saline,24,1,68,58.97
No Infusion,17,Saline,24,2,34,14.16
No Infusion,17,Saline,24,3,9,8.66
No Infusion,17,Saline,24,4,4,1.63
No Infusion,17,Saline,24,5,16,8.35
No Infusion,17,Saline,24,6,11,15.25
No Infusion,17,Saline,29,1,72,72.06
No Infusion,17,Saline,29,2,9,10.48
No Infusion,17,Saline,29,3,13,13.6
No Infusion,17,Saline,29,4,0,0
No Infusion,17,Saline,29,5,14,12.18
No Infusion,17,Saline,29,6,0,0
No Infusion,17,Saline,31,1,99,70.35
No Infusion,17,Saline,31,2,21,14.8
No Infusion,17,Saline,31,3,8,1.24
No Infusion,17,Saline,31,4,7,2.58
No Infusion,17,Saline,31,5,0,0
No Infusion,17,Saline,31,6,1,0.05
No Infusion,17,Saline,32,1,85,81.3
No Infusion,17,Saline,32,2,12,8.77
No Infusion,17,Saline,32,3,8,4.4
No Infusion,17,Saline,32,4,2,2.92
No Infusion,17,Saline,32,5,0,0
No Infusion,17,Saline,32,6,0,0
Infusion,18,Muscimol,1,1,62,67.9
Infusion,18,Muscimol,1,2,65,70.78
Infusion,18,Muscimol,1,3,35,49.12
Infusion,18,Muscimol,1,4,7,10.22
Infusion,18,Muscimol,1,5,1,1.6
Infusion,18,Muscimol,1,6,1,0.08
Infusion,18,Muscimol,3,1,91,195.23
Infusion,18,Muscimol,3,2,33,46.26
Infusion,18,Muscimol,3,3,0,0
Infusion,18,Muscimol,3,4,0,0
Infusion,18,Muscimol,3,5,0,0
Infusion,18,Muscimol,3,6,0,0
Infusion,18,Muscimol,5,1,75,88.2
Infusion,18,Muscimol,5,2,14,14.29
Infusion,18,Muscimol,5,3,4,4.79
Infusion,18,Muscimol,5,4,0,0
Infusion,18,Muscimol,5,5,0,0
Infusion,18,Muscimol,5,6,1,1.79
Infusion,18,Muscimol,8,1,69,93.01
Infusion,18,Muscimol,8,2,15,15.03
Infusion,18,Muscimol,8,3,2,3.35
Infusion,18,Muscimol,8,4,0,0
Infusion,18,Muscimol,8,5,1,0.56
Infusion,18,Muscimol,8,6,0,0
Infusion,18,Muscimol,10,1,49,63.3
Infusion,18,Muscimol,10,2,0,0
Infusion,18,Muscimol,10,3,0,0
Infusion,18,Muscimol,10,4,1,0.29
Infusion,18,Muscimol,10,5,0,0
Infusion,18,Muscimol,10,6,0,0
Infusion,18,Muscimol,16,1,64,73.96
Infusion,18,Muscimol,16,2,8,8.65
Infusion,18,Muscimol,16,3,4,6.15
Infusion,18,Muscimol,16,4,2,3.3
Infusion,18,Muscimol,16,5,0,0
