Group,Subject,Stage,Period,DayBlock,MagEntries
Lesion,1,PreOp,PreCS,block1,1.9375
Lesion,1,PreOp,PreCS,block2,1.270833333
Lesion,1,PreOp,PreCS,block3,1.833333333
Lesion,1,PostOp,PreCS,block4,1.229166667
Lesion,1,PostOp,PreCS,block5,0.520833333
Lesion,1,PostOp,PreCS,block6,2.041666667
Lesion,1,PreOp,CS,block1,2.5
Lesion,1,PreOp,CS,block2,2.729166667
Lesion,1,PreOp,CS,block3,5.479166667
Lesion,1,PostOp,CS,block4,6.1875
Lesion,1,PostOp,CS,block5,5.583333333
Lesion,1,PostOp,CS,block6,5.041666667
Lesion,1,PreSurgery,CSPre,Block1,0.5625
Lesion,1,PreSurgery,CSPre,Block2,1.458333333
Lesion,1,PreSurgery,CSPre,Block3,3.645833333
Lesion,1,PostSurgery,CSPre,Block4,4.958333333
Lesion,1,PostSurgery,CSPre,Block5,5.0625
Lesion,1,PostSurgery,CSPre,Block6,3
Lesion,4,PreOp,PreCS,block1,1.645833333
Lesion,4,PreOp,PreCS,block2,1.125
Lesion,4,PreOp,PreCS,block3,0.875
Lesion,4,PostOp,PreCS,block4,1.8125
Lesion,4,PostOp,PreCS,block5,2.041666667
Lesion,4,PostOp,PreCS,block6,3
Lesion,4,PreOp,CS,block1,3.666666667
Lesion,4,PreOp,CS,block2,4.25
Lesion,4,PreOp,CS,block3,4.041666667
Lesion,4,PostOp,CS,block4,4.541666667
Lesion,4,PostOp,CS,block5,5.104166667
Lesion,4,PostOp,CS,block6,5.270833333
Lesion,4,PreSurgery,CSPre,Block1,2.020833333
Lesion,4,PreSurgery,CSPre,Block2,3.125
Lesion,4,PreSurgery,CSPre,Block3,3.166666667
Lesion,4,PostSurgery,CSPre,Block4,2.729166667
Lesion,4,PostSurgery,CSPre,Block5,3.0625
Lesion,4,PostSurgery,CSPre,Block6,2.270833333
Lesion,7,PreOp,PreCS,block1,1.645833333
Lesion,7,PreOp,PreCS,block2,0.958333333
Lesion,7,PreOp,PreCS,block3,1.895833333
Lesion,7,PostOp,PreCS,block4,0.9375
Lesion,7,PostOp,PreCS,block5,1.854166667
Lesion,7,PostOp,PreCS,block6,3.458333333
Lesion,7,PreOp,CS,block1,2.583333333
Lesion,7,PreOp,CS,block2,3.833333333
Lesion,7,PreOp,CS,block3,4.5625
Lesion,7,PostOp,CS,block4,6.25
Lesion,7,PostOp,CS,block5,5.604166667
Lesion,7,PostOp,CS,block6,6.520833333
Lesion,7,PreSurgery,CSPre,Block1,0.9375
Lesion,7,PreSurgery,CSPre,Block2,2.875
Lesion,7,PreSurgery,CSPre,Block3,2.666666667
Lesion,7,PostSurgery,CSPre,Block4,5.3125
Lesion,7,PostSurgery,CSPre,Block5,3.75
Lesion,7,PostSurgery,CSPre,Block6,3.0625
Lesion,10,PreOp,PreCS,block1,1.25
Lesion,10,PreOp,PreCS,block2,1.458333333
Lesion,10,PreOp,PreCS,block3,1.729166667
Lesion,10,PostOp,PreCS,block4,0.291666667
Lesion,10,PostOp,PreCS,block5,0.395833333
Lesion,10,PostOp,PreCS,block6,0.5625
Lesion,10,PreOp,CS,block1,2.020833333
Lesion,10,PreOp,CS,block2,3.5
Lesion,10,PreOp,CS,block3,4.666666667
Lesion,10,PostOp,CS,block4,3.9375
Lesion,10,PostOp,CS,block5,3.666666667
Lesion,10,PostOp,CS,block6,5.916666667
Lesion,10,PreSurgery,CSPre,Block1,0.770833333
Lesion,10,PreSurgery,CSPre,Block2,2.041666667
Lesion,10,PreSurgery,CSPre,Block3,2.9375
Lesion,10,PostSurgery,CSPre,Block4,3.645833333
Lesion,10,PostSurgery,CSPre,Block5,3.270833333
Lesion,10,PostSurgery,CSPre,Block6,5.354166667
Lesion,12,PreOp,PreCS,block1,2.729166667
Lesion,12,PreOp,PreCS,block2,2.270833333
Lesion,12,PreOp,PreCS,block3,1.354166667
Lesion,12,PostOp,PreCS,block4,0.270833333
Lesion,12,PostOp,PreCS,block5,0.583333333
Lesion,12,PostOp,PreCS,block6,2.791666667
Lesion,12,PreOp,CS,block1,4.020833333
Lesion,12,PreOp,CS,block2,6.583333333
Lesion,12,PreOp,CS,block3,7.229166667
Lesion,12,PostOp,CS,block4,4.75
Lesion,12,PostOp,CS,block5,7.520833333
Lesion,12,PostOp,CS,block6,6.833333333
Lesion,12,PreSurgery,CSPre,Block1,1.291666667
Lesion,12,PreSurgery,CSPre,Block2,4.3125
Lesion,12,PreSurgery,CSPre,Block3,5.875
Lesion,12,PostSurgery,CSPre,Block4,4.479166667
Lesion,12,PostSurgery,CSPre,Block5,6.9375
Lesion,12,PostSurgery,CSPre,Block6,4.041666667
Lesion,14,PreOp,PreCS,block1,0.9375
Lesion,14,PreOp,PreCS,block2,1.041666667
Lesion,14,PreOp,PreCS,block3,1.166666667
Lesion,14,PostOp,PreCS,block4,0.479166667
Lesion,14,PostOp,PreCS,block5,0.791666667
Lesion,14,PostOp,PreCS,block6,2.895833333
Lesion,14,PreOp,CS,block1,2.979166667
Lesion,14,PreOp,CS,block2,5.833333333
Lesion,14,PreOp,CS,block3,5.354166667
